LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,centroid_lon,centroid_lat
E01000150,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.6,7.199999999999999,521803.3441800395,188804.03574893225
E01000151,0.6,0.8,0.6,0.3,0.3,1.3,0.6,1.3,1.1,0.6,7.499999999999998,521790.56039206334,190636.23300078747
E01000152,0.5,0.6,0.6,0.3,0.3,0.9,0.6,0.9,1.1,0.6,6.4,521716.18488716846,190988.29104793342
E01000153,0.6,0.8,0.6,0.3,0.3,0.8,0.5,1.1,1.1,0.6,6.699999999999999,521427.5730457929,190918.96977437535
E01000154,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.0,521687.53346365836,190332.2571505448
E01000156,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.6,7.199999999999999,528322.4712258008,190689.87668116722
E01000157,0.5,0.5,0.5,0.3,0.2,0.6,0.3,0.9,0.9,0.6,5.3,528559.3932090143,191004.34816916074
E01000158,0.6,0.6,0.5,0.3,0.2,0.9,0.6,0.9,1.1,0.6,6.300000000000001,528056.4391061616,192599.9575245138
E01000159,0.5,0.8,0.6,0.3,0.3,0.9,0.5,0.9,1.1,0.8,6.7,527616.9565312769,192710.12459166
E01000160,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.1,528533.5808323851,192130.25383036738
E01000161,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,528018.6946621699,192134.5157574603
E01000162,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.1,0.6,6.799999999999999,527620.3566468962,191965.06462221243
E01000163,0.6,0.8,0.6,0.3,0.3,0.8,0.5,1.1,0.9,0.6,6.5,528540.9798961408,191511.2185319402
E01000164,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.1,0.6,6.799999999999999,527990.9322930439,191272.18094711812
E01000165,0.5,0.6,0.5,0.3,0.3,0.9,0.3,0.9,1.1,0.6,6.0,528183.5199570445,191733.7621043281
E01000166,0.5,0.8,0.6,0.3,0.2,0.8,0.3,0.8,1.1,0.6,6.0,527439.5507648283,196636.07422754544
E01000167,0.5,0.6,0.5,0.3,0.2,0.9,0.5,0.9,1.1,0.6,6.1,526725.5031009881,196819.30755627318
E01000168,0.5,0.6,0.5,0.2,0.2,0.8,0.3,0.9,1.1,0.6,5.699999999999999,527675.319530748,196079.36949920133
E01000169,0.5,0.6,0.6,0.3,0.2,0.9,0.3,0.9,0.9,0.6,5.8,527110.2015130373,196181.1562372582
E01000170,0.5,0.8,0.6,0.3,0.2,0.8,0.5,1.3,0.9,0.6,6.5,527139.8287613805,195709.17532600774
E01000171,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.1,526665.154088307,196043.19683354656
E01000172,0.5,0.8,0.6,0.3,0.2,0.8,0.3,0.8,1.1,0.6,6.0,528102.9272416685,195308.3291639598
E01000173,0.3,0.8,0.6,0.2,0.3,0.8,0.3,1.1,1.1,0.6,6.1,527677.4275813249,195207.656629097
E01000174,0.5,0.8,0.6,0.3,0.2,0.8,0.6,1.1,1.1,0.8,6.8,527075.1058923041,195247.4158418565
E01000175,0.6,0.8,0.5,0.3,0.2,0.8,0.6,1.1,1.1,0.6,6.6,527442.1430803314,194788.09619178443
E01000176,0.6,0.8,0.6,0.3,0.3,0.8,0.3,0.9,1.1,0.6,6.299999999999999,526215.1135369333,190120.6047362585
E01000177,0.6,0.8,0.6,0.3,0.3,0.8,0.5,1.3,0.9,0.6,6.699999999999999,526736.3575003842,189796.10892730433
E01000178,0.6,0.8,0.6,0.3,0.2,0.9,0.6,1.3,1.3,0.6,7.199999999999999,527211.1784662905,190122.46582153425
E01000179,0.5,0.8,0.3,0.3,0.3,0.9,0.5,0.9,0.9,0.6,6.0,526410.296551057,189988.3878346495
E01000180,0.6,0.8,0.5,0.3,0.2,0.8,0.5,1.3,1.1,0.8,6.8999999999999995,526811.1609000432,189452.57829504146
E01000181,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.0,527304.8614640395,189609.73998752714
E01000182,0.3,0.8,0.6,0.3,0.2,0.9,0.5,1.3,1.1,0.6,6.6,527434.3093489027,189249.778100367
E01000183,0.5,0.8,0.3,0.2,0.3,0.9,0.5,1.3,1.1,0.6,6.5,526456.7204106282,189419.7660949148
E01000184,0.5,0.8,0.6,0.3,0.3,1.1,0.5,1.1,1.1,0.6,6.899999999999999,527113.8941998137,190781.55150897888
E01000185,0.5,0.8,0.6,0.2,0.3,0.9,0.5,0.9,1.1,0.6,6.4,526737.8647715438,190156.8339743821
E01000186,0.5,0.8,0.5,0.3,0.2,0.9,0.5,1.1,1.1,0.6,6.5,519546.21530026535,192972.56797884466
E01000187,0.5,0.8,0.5,0.3,0.2,0.8,0.6,1.1,0.9,0.6,6.300000000000001,519667.86474248907,193349.07749581235
E01000188,0.5,0.8,0.6,0.3,0.2,0.9,0.6,1.1,1.1,0.6,6.699999999999999,518736.66305215465,193868.88344845618
E01000189,0.6,0.8,0.6,0.3,0.2,0.9,0.5,0.9,1.3,0.6,6.699999999999999,518588.0378595395,192789.58078256375
E01000190,0.5,0.6,0.5,0.2,0.2,0.9,0.5,0.9,1.1,0.6,6.0,518867.697877642,192480.46684308068
E01000191,0.5,0.8,0.6,0.3,0.2,0.9,0.5,0.9,0.9,0.6,6.2,519284.80523284466,192683.65148410012
E01000192,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.8,7.499999999999999,519656.5750872844,192267.833828676
E01000193,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,519243.9205738114,192049.00546464248
E01000194,0.5,0.8,0.6,0.3,0.3,1.1,0.6,1.3,1.1,0.6,7.199999999999999,519605.91361299943,191626.28308089805
E01000195,0.5,0.8,0.6,0.3,0.2,0.9,0.5,1.1,1.1,0.6,6.6,520033.5054086987,193870.14676145487
E01000196,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.9,7.4,525046.0715566168,190341.40118257515
E01000197,0.5,0.8,0.6,0.3,0.2,0.9,0.5,1.3,1.3,0.8,7.199999999999999,525590.2096669927,190258.8468279083
E01000198,0.6,0.8,0.6,0.3,0.3,0.9,0.3,0.9,1.3,0.8,6.799999999999999,523787.1514169937,190059.9465180809
E01000199,0.5,0.8,0.5,0.3,0.2,0.8,0.2,0.9,1.1,0.6,5.9,524299.0222396663,190502.69598596176
E01000200,0.6,0.8,0.6,0.3,0.3,0.6,0.2,0.8,1.1,0.6,5.9,524474.7133701018,190119.5197873184
E01000201,0.6,0.6,0.6,0.3,0.3,0.9,0.5,0.9,1.3,0.6,6.599999999999999,524454.5242840791,189613.60396079448
E01000202,0.5,0.8,0.6,0.3,0.3,0.8,0.3,1.1,1.1,0.6,6.399999999999999,525043.635495492,189923.4250433939
E01000203,0.6,0.8,0.6,0.3,0.3,0.9,0.5,0.9,1.3,0.8,6.999999999999999,525259.8949700336,189707.904965379
E01000204,0.3,0.8,0.6,0.2,0.2,0.8,0.6,1.3,1.1,0.6,6.5,524658.301562471,190792.78475163764
E01000205,0.6,0.8,0.6,0.3,0.3,0.9,0.3,0.9,1.1,0.6,6.399999999999999,525537.5578277257,189143.03167072832
E01000206,0.6,0.8,0.6,0.2,0.2,0.9,0.3,1.1,0.9,0.6,6.2,526428.5747442226,187865.7552411823
E01000207,0.3,0.8,0.6,0.3,0.2,0.8,0.6,1.1,1.1,0.6,6.4,525910.3433643929,188603.57619432794
E01000208,0.5,0.8,0.6,0.3,0.2,0.9,0.5,0.9,0.9,0.6,6.2,526924.4269878195,189000.82166003695
E01000209,0.5,0.6,0.5,0.3,0.0,0.8,0.5,1.3,0.9,0.6,6.0,525268.4082110239,188714.2307920351
E01000210,0.6,0.8,0.6,0.3,0.3,0.8,0.5,0.9,1.1,0.6,6.5,525985.5436200085,189404.98512809695
E01000211,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,0.9,0.6,6.8,524967.7058532732,188989.6087794762
E01000212,0.5,0.6,0.6,0.3,0.3,0.9,0.5,0.9,1.3,0.6,6.499999999999999,525346.6464856734,188113.9639009027
